match_number,team_number,scoring_type,scoring_value
4,515,Auto Leave,1
4,515,Auto L1,1
4,515,Auto L2,1
4,515,Auto L3,1
4,515,Auto L4,0
4,515,Auto Algae,1
4,1033,Auto Leave,1
4,1033,Auto L1,0
4,1033,Auto L2,2
4,1033,Auto L3,2
4,1033,Auto L4,2
4,1033,Auto Algae,2
4,1524,Auto Leave,1
4,1524,Auto L1,2
4,1524,Auto L2,2
4,1524,Auto L3,1
4,1524,Auto L4,0
4,1524,Auto Algae,2
4,2433,Auto Leave,0
4,2433,Auto L1,1
4,2433,Auto L2,1
4,2433,Auto L3,2
4,2433,Auto L4,1
4,2433,Auto Algae,2
4,4439,Auto Leave,1
4,4439,Auto L1,2
4,4439,Auto L2,1
4,4439,Auto L3,0
4,4439,Auto L4,0
4,4439,Auto Algae,1
4,5968,Auto Leave,1
4,5968,Auto L1,0
4,5968,Auto L2,0
4,5968,Auto L3,2
4,5968,Auto L4,2
4,5968,Auto Algae,1
5,1009,Auto Leave,1
5,1009,Auto L1,1
5,1009,Auto L2,0
5,1009,Auto L3,2
5,1009,Auto L4,2
5,1009,Auto Algae,1
5,2869,Auto Leave,1
5,2869,Auto L1,2
5,2869,Auto L2,0
5,2869,Auto L3,1
5,2869,Auto L4,0
5,2869,Auto Algae,0
5,3771,Auto Leave,0
5,3771,Auto L1,0
5,3771,Auto L2,0
5,3771,Auto L3,1
5,3771,Auto L4,1
5,3771,Auto Algae,1
5,4611,Auto Leave,1
5,4611,Auto L1,1
5,4611,Auto L2,1
5,4611,Auto L3,0
5,4611,Auto L4,2
5,4611,Auto Algae,1
5,5662,Auto Leave,1
5,5662,Auto L1,2
5,5662,Auto L2,2
5,5662,Auto L3,0
5,5662,Auto L4,2
5,5662,Auto Algae,0
5,6765,Auto Leave,1
5,6765,Auto L1,0
5,6765,Auto L2,1
5,6765,Auto L3,0
5,6765,Auto L4,2
5,6765,Auto Algae,1
6,515,Auto Leave,1
6,515,Auto L1,1
6,515,Auto L2,2
6,515,Auto L3,2
6,515,Auto L4,0
6,515,Auto Algae,1
6,1033,Auto Leave,1
6,1033,Auto L1,2
6,1033,Auto L2,1
6,1033,Auto L3,0
6,1033,Auto L4,1
6,1033,Auto Algae,2
6,1524,Auto Leave,0
6,1524,Auto L1,0
6,1524,Auto L2,1
6,1524,Auto L3,2
6,1524,Auto L4,1
6,1524,Auto Algae,1
6,2433,Auto Leave,1
6,2433,Auto L1,1
6,2433,Auto L2,0
6,2433,Auto L3,2
6,2433,Auto L4,2
6,2433,Auto Algae,0
6,4439,Auto Leave,1
6,4439,Auto L1,2
6,4439,Auto L2,0
6,4439,Auto L3,2
6,4439,Auto L4,0
6,4439,Auto Algae,1
6,5968,Auto Leave,1
6,5968,Auto L1,0
6,5968,Auto L2,2
6,5968,Auto L3,0
6,5968,Auto L4,2
6,5968,Auto Algae,0
7,1009,Auto Leave,1
7,1009,Auto L1,1
7,1009,Auto L2,2
7,1009,Auto L3,1
7,1009,Auto L4,1
7,1009,Auto Algae,1
7,2869,Auto Leave,1
7,2869,Auto L1,2
7,2869,Auto L2,0
7,2869,Auto L3,0
7,2869,Auto L4,0
7,2869,Auto Algae,2
7,3718,Auto Leave,0
7,3718,Auto L1,0
7,3718,Auto L2,1
7,3718,Auto L3,0
7,3718,Auto L4,1
7,3718,Auto Algae,0
7,3771,Auto Leave,1
7,3771,Auto L1,1
7,3771,Auto L2,2
7,3771,Auto L3,2
7,3771,Auto L4,1
7,3771,Auto Algae,0
7,4611,Auto Leave,1
7,4611,Auto L1,2
7,4611,Auto L2,2
7,4611,Auto L3,2
7,4611,Auto L4,0
7,4611,Auto Algae,1
7,5662,Auto Leave,1
7,5662,Auto L1,0
7,5662,Auto L2,0
7,5662,Auto L3,0
7,5662,Auto L4,2
7,5662,Auto Algae,1
8,515,Auto Leave,1
8,515,Auto L1,1
8,515,Auto L2,1
8,515,Auto L3,0
8,515,Auto L4,1
8,515,Auto Algae,0
8,1033,Auto Leave,1
8,1033,Auto L1,2
8,1033,Auto L2,2
8,1033,Auto L3,2
8,1033,Auto L4,0
8,1033,Auto Algae,2
8,1524,Auto Leave,0
8,1524,Auto L1,0
8,1524,Auto L2,0
8,1524,Auto L3,1
8,1524,Auto L4,2
8,1524,Auto Algae,2
8,2433,Auto Leave,1
8,2433,Auto L1,1
8,2433,Auto L2,0
8,2433,Auto L3,1
8,2433,Auto L4,1
8,2433,Auto Algae,2
8,4439,Auto Leave,1
8,4439,Auto L1,2
8,4439,Auto L2,0
8,4439,Auto L3,1
8,4439,Auto L4,1
8,4439,Auto Algae,2
8,5968,Auto Leave,1
8,5968,Auto L1,0
8,5968,Auto L2,2
8,5968,Auto L3,2
8,5968,Auto L4,1
8,5968,Auto Algae,1
9,1009,Auto Leave,1
9,1009,Auto L1,1
9,1009,Auto L2,1
9,1009,Auto L3,1
9,1009,Auto L4,2
9,1009,Auto Algae,0
9,2869,Auto Leave,1
9,2869,Auto L1,2
9,2869,Auto L2,0
9,2869,Auto L3,2
9,2869,Auto L4,0
9,2869,Auto Algae,1
9,3718,Auto Leave,0
9,3718,Auto L1,0
9,3718,Auto L2,1
9,3718,Auto L3,2
9,3718,Auto L4,2
9,3718,Auto Algae,1
9,3771,Auto Leave,1
9,3771,Auto L1,1
9,3771,Auto L2,2
9,3771,Auto L3,1
9,3771,Auto L4,0
9,3771,Auto Algae,2
9,4611,Auto Leave,1
9,4611,Auto L1,2
9,4611,Auto L2,0
9,4611,Auto L3,0
9,4611,Auto L4,1
9,4611,Auto Algae,0
9,5662,Auto Leave,1
9,5662,Auto L1,0
9,5662,Auto L2,2
9,5662,Auto L3,2
9,5662,Auto L4,0
9,5662,Auto Algae,1
10,515,Auto Leave,1
10,515,Auto L1,1
10,515,Auto L2,1
10,515,Auto L3,1
10,515,Auto L4,1
10,515,Auto Algae,1
10,1033,Auto Leave,1
10,1033,Auto L1,2
10,1033,Auto L2,0
10,1033,Auto L3,2
10,1033,Auto L4,1
10,1033,Auto Algae,0
10,1524,Auto Leave,0
10,1524,Auto L1,0
10,1524,Auto L2,1
10,1524,Auto L3,2
10,1524,Auto L4,0
10,1524,Auto Algae,2
10,2433,Auto Leave,1
10,2433,Auto L1,1
10,2433,Auto L2,2
10,2433,Auto L3,2
10,2433,Auto L4,2
10,2433,Auto Algae,2
10,4439,Auto Leave,1
10,4439,Auto L1,2
10,4439,Auto L2,0
10,4439,Auto L3,0
10,4439,Auto L4,1
10,4439,Auto Algae,1
10,5968,Auto Leave,1
10,5968,Auto L1,0
10,5968,Auto L2,0
10,5968,Auto L3,0
10,5968,Auto L4,0
10,5968,Auto Algae,2
11,1009,Auto Leave,1
11,1009,Auto L1,1
11,1009,Auto L2,2
11,1009,Auto L3,2
11,1009,Auto L4,0
11,1009,Auto Algae,2
11,2869,Auto Leave,1
11,2869,Auto L1,2
11,2869,Auto L2,0
11,2869,Auto L3,2
11,2869,Auto L4,2
11,2869,Auto Algae,2
11,3718,Auto Leave,0
11,3718,Auto L1,0
11,3718,Auto L2,0
11,3718,Auto L3,1
11,3718,Auto L4,0
11,3718,Auto Algae,0
11,3771,Auto Leave,1
11,3771,Auto L1,1
11,3771,Auto L2,1
11,3771,Auto L3,2
11,3771,Auto L4,2
11,3771,Auto Algae,1
11,4611,Auto Leave,1
11,4611,Auto L1,2
11,4611,Auto L2,2
11,4611,Auto L3,0
11,4611,Auto L4,2
11,4611,Auto Algae,2
11,5662,Auto Leave,1
11,5662,Auto L1,0
11,5662,Auto L2,0
11,5662,Auto L3,2
11,5662,Auto L4,1
11,5662,Auto Algae,1
12,515,Auto Leave,1
12,515,Auto L1,1
12,515,Auto L2,2
12,515,Auto L3,1
12,515,Auto L4,0
12,515,Auto Algae,0
12,1033,Auto Leave,1
12,1033,Auto L1,2
12,1033,Auto L2,2
12,1033,Auto L3,1
12,1033,Auto L4,2
12,1033,Auto Algae,2
12,1524,Auto Leave,0
12,1524,Auto L1,0
12,1524,Auto L2,2
12,1524,Auto L3,2
12,1524,Auto L4,2
12,1524,Auto Algae,2
12,2433,Auto Leave,1
12,2433,Auto L1,1
12,2433,Auto L2,0
12,2433,Auto L3,1
12,2433,Auto L4,1
12,2433,Auto Algae,2
12,4439,Auto Leave,1
12,4439,Auto L1,2
12,4439,Auto L2,0
12,4439,Auto L3,2
12,4439,Auto L4,2
12,4439,Auto Algae,2
12,5968,Auto Leave,1
12,5968,Auto L1,0
12,5968,Auto L2,1
12,5968,Auto L3,0
12,5968,Auto L4,1
12,5968,Auto Algae,1
13,1009,Auto Leave,1
13,1009,Auto L1,1
13,1009,Auto L2,0
13,1009,Auto L3,1
13,1009,Auto L4,2
13,1009,Auto Algae,0
13,2869,Auto Leave,1
13,2869,Auto L1,2
13,2869,Auto L2,2
13,2869,Auto L3,2
13,2869,Auto L4,0
13,2869,Auto Algae,1
13,3718,Auto Leave,0
13,3718,Auto L1,0
13,3718,Auto L2,1
13,3718,Auto L3,2
13,3718,Auto L4,1
13,3718,Auto Algae,0
13,3771,Auto Leave,1
13,3771,Auto L1,1
13,3771,Auto L2,1
13,3771,Auto L3,0
13,3771,Auto L4,1
13,3771,Auto Algae,1
13,4611,Auto Leave,1
13,4611,Auto L1,2
13,4611,Auto L2,2
13,4611,Auto L3,2
13,4611,Auto L4,2
13,4611,Auto Algae,0
13,5662,Auto Leave,1
13,5662,Auto L1,0
13,5662,Auto L2,0
13,5662,Auto L3,0
13,5662,Auto L4,0
13,5662,Auto Algae,2
14,515,Auto Leave,1
14,515,Auto L1,1
14,515,Auto L2,1
14,515,Auto L3,0
14,515,Auto L4,1
14,515,Auto Algae,0
14,1033,Auto Leave,1
14,1033,Auto L1,2
14,1033,Auto L2,2
14,1033,Auto L3,2
14,1033,Auto L4,1
14,1033,Auto Algae,1
14,1524,Auto Leave,0
14,1524,Auto L1,0
14,1524,Auto L2,2
14,1524,Auto L3,2
14,1524,Auto L4,1
14,1524,Auto Algae,2
14,2433,Auto Leave,1
14,2433,Auto L1,1
14,2433,Auto L2,0
14,2433,Auto L3,1
14,2433,Auto L4,1
14,2433,Auto Algae,2
14,4439,Auto Leave,1
14,4439,Auto L1,2
14,4439,Auto L2,1
14,4439,Auto L3,0
14,4439,Auto L4,2
14,4439,Auto Algae,2
14,5968,Auto Leave,1
14,5968,Auto L1,0
14,5968,Auto L2,1
14,5968,Auto L3,1
14,5968,Auto L4,1
14,5968,Auto Algae,0
15,1009,Auto Leave,1
15,1009,Auto L1,1
15,1009,Auto L2,1
15,1009,Auto L3,0
15,1009,Auto L4,2
15,1009,Auto Algae,0
15,2869,Auto Leave,1
15,2869,Auto L1,2
15,2869,Auto L2,1
15,2869,Auto L3,1
15,2869,Auto L4,1
15,2869,Auto Algae,0
15,3718,Auto Leave,0
15,3718,Auto L1,0
15,3718,Auto L2,0
15,3718,Auto L3,0
15,3718,Auto L4,0
15,3718,Auto Algae,1
15,3771,Auto Leave,1
15,3771,Auto L1,1
15,3771,Auto L2,1
15,3771,Auto L3,2
15,3771,Auto L4,2
15,3771,Auto Algae,0
15,4611,Auto Leave,1
15,4611,Auto L1,2
15,4611,Auto L2,0
15,4611,Auto L3,2
15,4611,Auto L4,1
15,4611,Auto Algae,0
15,5662,Auto Leave,1
15,5662,Auto L1,0
15,5662,Auto L2,0
15,5662,Auto L3,1
15,5662,Auto L4,2
15,5662,Auto Algae,2
16,515,Auto Leave,1
16,515,Auto L1,1
16,515,Auto L2,1
16,515,Auto L3,2
16,515,Auto L4,1
16,515,Auto Algae,1
16,1033,Auto Leave,1
16,1033,Auto L1,2
16,1033,Auto L2,1
16,1033,Auto L3,2
16,1033,Auto L4,1
16,1033,Auto Algae,0
16,1524,Auto Leave,0
16,1524,Auto L1,0
16,1524,Auto L2,1
16,1524,Auto L3,2
16,1524,Auto L4,1
16,1524,Auto Algae,1
16,2433,Auto Leave,1
16,2433,Auto L1,1
16,2433,Auto L2,1
16,2433,Auto L3,0
16,2433,Auto L4,0
16,2433,Auto Algae,0
16,4439,Auto Leave,1
16,4439,Auto L1,2
16,4439,Auto L2,0
16,4439,Auto L3,2
16,4439,Auto L4,2
16,4439,Auto Algae,0
16,5968,Auto Leave,1
16,5968,Auto L1,0
16,5968,Auto L2,1
16,5968,Auto L3,0
16,5968,Auto L4,2
16,5968,Auto Algae,2
17,1009,Auto Leave,1
17,1009,Auto L1,1
17,1009,Auto L2,1
17,1009,Auto L3,0
17,1009,Auto L4,0
17,1009,Auto Algae,0
17,2869,Auto Leave,1
17,2869,Auto L1,2
17,2869,Auto L2,2
17,2869,Auto L3,0
17,2869,Auto L4,2
17,2869,Auto Algae,2
17,3718,Auto Leave,0
17,3718,Auto L1,0
17,3718,Auto L2,2
17,3718,Auto L3,1
17,3718,Auto L4,0
17,3718,Auto Algae,2
17,3771,Auto Leave,1
17,3771,Auto L1,1
17,3771,Auto L2,0
17,3771,Auto L3,1
17,3771,Auto L4,1
17,3771,Auto Algae,0
17,4611,Auto Leave,1
17,4611,Auto L1,2
17,4611,Auto L2,0
17,4611,Auto L3,1
17,4611,Auto L4,1
17,4611,Auto Algae,0
17,5662,Auto Leave,1
17,5662,Auto L1,0
17,5662,Auto L2,1
17,5662,Auto L3,1
17,5662,Auto L4,0
17,5662,Auto Algae,2
18,515,Auto Leave,1
18,515,Auto L1,1
18,515,Auto L2,1
18,515,Auto L3,0
18,515,Auto L4,2
18,515,Auto Algae,0
18,1033,Auto Leave,1
18,1033,Auto L1,2
18,1033,Auto L2,2
18,1033,Auto L3,0
18,1033,Auto L4,1
18,1033,Auto Algae,1
18,1524,Auto Leave,0
18,1524,Auto L1,0
18,1524,Auto L2,0
18,1524,Auto L3,0
18,1524,Auto L4,2
18,1524,Auto Algae,0
18,2433,Auto Leave,1
18,2433,Auto L1,1
18,2433,Auto L2,2
18,2433,Auto L3,1
18,2433,Auto L4,1
18,2433,Auto Algae,1
18,4439,Auto Leave,1
18,4439,Auto L1,2
18,4439,Auto L2,1
18,4439,Auto L3,1
18,4439,Auto L4,0
18,4439,Auto Algae,2
18,5968,Auto Leave,1
18,5968,Auto L1,0
18,5968,Auto L2,1
18,5968,Auto L3,1
18,5968,Auto L4,2
18,5968,Auto Algae,1
19,1009,Auto Leave,1
19,1009,Auto L1,1
19,1009,Auto L2,0
19,1009,Auto L3,2
19,1009,Auto L4,1
19,1009,Auto Algae,2
19,2869,Auto Leave,1
19,2869,Auto L1,2
19,2869,Auto L2,2
19,2869,Auto L3,0
19,2869,Auto L4,2
19,2869,Auto Algae,0
19,3718,Auto Leave,0
19,3718,Auto L1,0
19,3718,Auto L2,2
19,3718,Auto L3,2
19,3718,Auto L4,0
19,3718,Auto Algae,2
19,3771,Auto Leave,1
19,3771,Auto L1,1
19,3771,Auto L2,2
19,3771,Auto L3,1
19,3771,Auto L4,1
19,3771,Auto Algae,0
19,4611,Auto Leave,1
19,4611,Auto L1,2
19,4611,Auto L2,1
19,4611,Auto L3,1
19,4611,Auto L4,0
19,4611,Auto Algae,1
19,5662,Auto Leave,1
19,5662,Auto L1,0
19,5662,Auto L2,0
19,5662,Auto L3,0
19,5662,Auto L4,1
19,5662,Auto Algae,2
20,515,Auto Leave,1
20,515,Auto L1,1
20,515,Auto L2,1
20,515,Auto L3,1
20,515,Auto L4,0
20,515,Auto Algae,2
20,1033,Auto Leave,1
20,1033,Auto L1,2
20,1033,Auto L2,0
20,1033,Auto L3,1
20,1033,Auto L4,0
20,1033,Auto Algae,1
20,1524,Auto Leave,0
20,1524,Auto L1,0
20,1524,Auto L2,0
20,1524,Auto L3,2
20,1524,Auto L4,0
20,1524,Auto Algae,2
20,2433,Auto Leave,1
20,2433,Auto L1,1
20,2433,Auto L2,1
20,2433,Auto L3,2
20,2433,Auto L4,2
20,2433,Auto Algae,2
20,4439,Auto Leave,1
20,4439,Auto L1,2
20,4439,Auto L2,2
20,4439,Auto L3,1
20,4439,Auto L4,0
20,4439,Auto Algae,2
20,5968,Auto Leave,1
20,5968,Auto L1,0
20,5968,Auto L2,1
20,5968,Auto L3,2
20,5968,Auto L4,2
20,5968,Auto Algae,1
